form,margin,weight,trajectory,pos_p95_mm,pos_max_mm,clear_min_mm,viol_frac,dev_rms_mm,dev_max_mm,solve_ms_med,solve_ms_p95,solve_ms_max,iters_mean,nonconv
soft,0.02,300.0,self_fold,41.886786798536946,42.34370342955349,18.471874237060547,0.0,0.04444181174039841,0.2841396629810333,5.612531007500365,67.82763430674095,90.50752804614604,25.475,0.10833333333333334
soft,0.02,300.0,teleop_grasp,47.72535087499039,51.66416347033725,19.696985244750977,0.0,0.029462847858667374,0.49526238441467285,5.524865526240319,32.05924836511259,60.552102979272604,11.566666666666666,0.0
soft,0.025,10.0,bimanual_parallel,0.00016316789695103475,0.0004485943594390985,19.528827667236328,0.0,0.00011049917520722374,0.0004377652076072991,4.598581523168832,8.129688483313656,16.10748702660203,3.903076923076923,0.0
soft,0.025,10.0,bimanual_tight,0.6080624510678536,0.6086969689720276,11.214334487915039,0.0,0.48237180709838867,0.6086911559104919,4.229879006743431,9.203412130591458,17.941057973075658,3.703076923076923,0.0
soft,0.025,10.0,bimanual_handoff,0.00021393357836977644,0.0004578362581874737,19.531375885009766,0.0,0.00011539537808857858,0.0004625402216333896,4.35467396164313,12.101260607596485,16.23375597409904,4.478095238095238,0.0
soft,0.025,10.0,arms_converge,7.376167307085027,12.501273910851614,-28.372272491455078,0.6290909090909091,4.2101922035217285,12.501275062561035,14.67521203448996,72.59502341039475,104.94655900401995,34.27818181818182,0.07636363636363637
soft,0.025,10.0,self_fold,41.88682643627757,42.3732344391158,17.73944854736328,0.0,0.03396765515208244,0.27975767850875854,5.5870364885777235,61.8721354403533,76.9128569518216,21.915,0.023333333333333334
soft,0.025,10.0,teleop_grasp,47.72538112930527,51.65500118054929,19.698936462402344,0.0,0.03933277353644371,0.4945663511753082,5.506112996954471,33.05814349732828,84.8011799971573,12.343333333333334,0.0033333333333333335
soft,0.025,30.0,bimanual_parallel,0.0011105481463024383,0.0035765802304637984,19.528825759887695,0.0,0.0005096505046822131,0.003553262911736965,4.386367014376447,8.8634851941606,13.99525604210794,3.916923076923077,0.0
soft,0.025,30.0,bimanual_tight,2.2274278862765984,2.228882988454781,14.446910858154297,0.0,1.7686197757720947,2.2288994789123535,4.143024008953944,9.129233963903971,17.10895000724122,3.624615384615385,0.0
soft,0.025,30.0,bimanual_handoff,0.0018267988758749452,0.0037064785686324654,19.53137969970703,0.0,0.0007046140381135046,0.0037094764411449432,4.367121960967779,11.251435417216271,15.121174976229668,4.300952380952381,0.0
soft,0.025,30.0,arms_converge,21.282261509525352,23.74484449612188,-10.753111839294434,0.2109090909090909,14.31187915802002,23.744842529296875,24.66247949632816,67.30609047808684,113.39487100485712,38.78181818181818,0.11818181818181818
soft,0.025,30.0,self_fold,41.89504089588461,42.34370395191677,18.419340133666992,0.0,0.05060805380344391,0.29170936346054077,5.57419951655902,66.38446299766656,72.41895102197304,23.438333333333333,0.06333333333333334
soft,0.025,30.0,teleop_grasp,47.72525278190914,51.74619174107909,19.721965789794922,0.0,0.03279964625835419,0.35613200068473816,5.471641517942771,29.94611517060548,84.2195880250074,11.663333333333334,0.006666666666666667
soft,0.025,100.0,bimanual_parallel,0.012451081131873638,0.03901556519741531,19.528831481933594,0.0,0.005596575327217579,0.03899367153644562,4.422291996888816,8.793164906091985,13.956577982753515,4.016923076923077,0.0
soft,0.025,100.0,bimanual_tight,4.342148528770436,4.343468839538641,18.671165466308594,0.0,3.4519259929656982,4.343471050262451,4.148025996983051,9.091892727883533,16.949291981291026,3.6784615384615384,0.0
soft,0.025,100.0,bimanual_handoff,0.023206982348066833,0.8580354367658135,18.54447364807129,0.0,0.06619066745042801,0.8580423593521118,4.360558988992125,11.679716187063605,69.47481795214117,5.335238095238095,0.0019047619047619048
soft,0.025,100.0,arms_converge,46.50387470784275,59.72335096544689,7.387682914733887,0.0,30.323833465576172,59.72333908081055,52.1449790103361,68.67367194790859,75.678008957766,55.85818181818182,0.2909090909090909
soft,0.025,100.0,self_fold,41.89937776584588,42.353041209100766,17.73189353942871,0.0,0.13542824983596802,0.564163863658905,5.720533023122698,66.95215564686805,95.40488896891475,24.628333333333334,0.08166666666666667
